timestamp_utc,label,gpu_power_w,gpu_util_pct,throughput_samples_per_s,perf_per_w,iterations,measurement_mode
2026-04-06T13:51:14Z,baseline,40.49,25,12.5593,0.310183,30,subprocess
2026-04-06T13:51:17Z,treatment,40.56,23,12.6135,0.310983,30,subprocess
2026-04-06T13:51:44Z,baseline,40.74,25,12.5679,0.308490,30,subprocess
2026-04-06T13:51:47Z,treatment,40.61,24,11.7818,0.290120,30,subprocess
2026-04-06T13:52:14Z,baseline,39.50,25,11.5859,0.293315,30,subprocess
2026-04-06T13:52:17Z,treatment,39.40,25,12.7908,0.324640,30,subprocess
2026-04-06T13:52:44Z,baseline,38.60,24,12.9501,0.335495,30,subprocess
2026-04-06T13:52:47Z,treatment,39.05,24,11.7542,0.301003,30,subprocess
2026-04-06T13:53:15Z,baseline,39.26,24,13.2244,0.336841,30,subprocess
2026-04-06T13:53:17Z,treatment,39.45,27,12.7448,0.323063,30,subprocess
2026-04-06T13:53:44Z,baseline,38.94,25,13.1442,0.337551,30,subprocess
2026-04-06T13:53:47Z,treatment,38.38,24,12.8386,0.334513,30,subprocess
2026-04-06T13:54:14Z,baseline,38.05,24,13.2257,0.347588,30,subprocess
2026-04-06T13:54:16Z,treatment,37.99,23,13.0904,0.344576,30,subprocess
2026-04-06T13:54:43Z,baseline,38.58,25,13.1243,0.340183,30,subprocess
2026-04-06T13:54:45Z,treatment,37.74,24,13.1854,0.349374,30,subprocess
2026-04-06T13:55:12Z,baseline,37.76,24,13.2415,0.350675,30,subprocess
2026-04-06T13:55:15Z,treatment,37.83,24,13.1513,0.347641,30,subprocess
2026-04-06T13:55:42Z,baseline,37.71,24,12.8529,0.340836,30,subprocess
2026-04-06T13:55:44Z,treatment,37.93,24,13.0853,0.344985,30,subprocess
2026-04-06T13:56:13Z,baseline,38.45,24,10.8764,0.282871,30,subprocess
2026-04-06T13:56:15Z,treatment,38.43,24,11.3699,0.295860,30,subprocess
2026-04-06T13:56:43Z,baseline,37.88,24,13.1295,0.346609,30,subprocess
2026-04-06T13:56:46Z,treatment,37.63,25,13.0909,0.347884,30,subprocess
2026-04-06T13:57:13Z,baseline,38.43,24,12.7854,0.332693,30,subprocess
2026-04-06T13:57:15Z,treatment,38.97,26,12.1566,0.311947,30,subprocess
2026-04-06T13:57:44Z,baseline,39.12,25,10.7314,0.274321,30,subprocess
2026-04-06T13:57:46Z,treatment,39.12,22,11.8197,0.302140,30,subprocess
2026-04-06T13:58:14Z,baseline,38.32,23,12.4473,0.324824,30,subprocess
2026-04-06T13:58:17Z,treatment,38.84,24,11.7599,0.302779,30,subprocess
2026-04-06T13:58:45Z,baseline,38.61,26,13.0982,0.339243,30,subprocess
2026-04-06T13:58:47Z,treatment,38.73,25,12.9673,0.334812,30,subprocess
2026-04-06T13:59:16Z,baseline,40.51,25,10.7911,0.266381,30,subprocess
2026-04-06T13:59:19Z,treatment,42.01,27,10.7976,0.257025,30,subprocess
2026-04-06T13:59:48Z,baseline,40.13,24,11.8786,0.296002,30,subprocess
2026-04-06T13:59:50Z,treatment,39.25,22,12.9446,0.329799,30,subprocess
2026-04-06T14:00:18Z,baseline,39.29,25,12.6222,0.321258,30,subprocess
2026-04-06T14:00:20Z,treatment,39.83,23,12.5862,0.315999,30,subprocess
2026-04-06T14:00:48Z,baseline,40.48,26,11.8803,0.293485,30,subprocess
2026-04-06T14:00:50Z,treatment,39.51,25,12.7748,0.323332,30,subprocess
2026-04-06T14:01:18Z,baseline,39.72,25,11.3069,0.284665,30,subprocess
2026-04-06T14:01:21Z,treatment,40.80,28,11.0445,0.270698,30,subprocess
2026-04-06T14:01:50Z,baseline,40.36,24,9.9427,0.246349,30,subprocess
2026-04-06T14:01:53Z,treatment,39.85,25,11.3128,0.283884,30,subprocess
2026-04-06T14:02:21Z,baseline,40.14,25,11.2377,0.279962,30,subprocess
2026-04-06T14:02:24Z,treatment,40.37,25,11.5421,0.285907,30,subprocess
2026-04-06T14:02:52Z,baseline,40.40,24,11.3671,0.281365,30,subprocess
2026-04-06T14:02:55Z,treatment,40.14,24,11.3073,0.281696,30,subprocess
2026-04-06T14:03:23Z,baseline,40.65,26,11.4130,0.280764,30,subprocess
2026-04-06T14:03:26Z,treatment,40.22,24,11.4308,0.284206,30,subprocess
2026-04-06T14:03:54Z,baseline,40.36,26,11.4510,0.283723,30,subprocess
2026-04-06T14:03:57Z,treatment,40.48,25,11.5197,0.284577,30,subprocess
2026-04-06T14:04:24Z,baseline,40.18,25,10.0582,0.250328,30,subprocess
2026-04-06T14:04:27Z,treatment,41.05,24,11.0540,0.269280,30,subprocess
2026-04-06T14:04:56Z,baseline,39.96,24,13.0235,0.325913,30,subprocess
2026-04-06T14:04:58Z,treatment,40.39,22,12.2502,0.303297,30,subprocess
2026-04-06T14:05:25Z,baseline,39.91,26,13.0823,0.327795,30,subprocess
2026-04-06T14:05:28Z,treatment,39.77,24,12.8103,0.322109,30,subprocess
2026-04-06T14:05:57Z,baseline,40.92,25,9.7854,0.239134,30,subprocess
2026-04-06T14:06:00Z,treatment,44.45,24,10.0628,0.226385,30,subprocess
2026-04-06T14:06:32Z,baseline,40.55,23,10.3046,0.254120,30,subprocess
2026-04-06T14:06:35Z,treatment,39.58,24,9.3982,0.237447,30,subprocess
2026-04-06T14:07:04Z,baseline,39.72,24,11.7912,0.296857,30,subprocess
2026-04-06T14:07:07Z,treatment,38.88,26,12.3418,0.317433,30,subprocess
2026-04-06T14:07:34Z,baseline,39.35,26,11.6925,0.297141,30,subprocess
2026-04-06T14:07:37Z,treatment,38.77,25,11.9258,0.307603,30,subprocess
2026-04-06T14:08:06Z,baseline,39.29,23,9.5909,0.244106,30,subprocess
2026-04-06T14:08:09Z,treatment,38.78,25,10.7270,0.276612,30,subprocess
2026-04-06T14:08:42Z,baseline,38.74,25,10.6220,0.274186,30,subprocess
2026-04-06T14:08:45Z,treatment,38.64,24,10.2885,0.266265,30,subprocess
2026-04-06T14:09:14Z,baseline,39.55,27,10.3837,0.262545,30,subprocess
2026-04-06T14:09:17Z,treatment,39.56,24,10.2980,0.260313,30,subprocess
2026-04-06T14:09:46Z,baseline,37.99,24,12.3678,0.325555,30,subprocess
2026-04-06T14:09:48Z,treatment,38.14,24,11.2548,0.295091,30,subprocess
2026-04-06T14:10:16Z,baseline,37.92,23,11.5559,0.304745,30,subprocess
2026-04-06T14:10:19Z,treatment,37.80,26,11.6524,0.308264,30,subprocess
2026-04-06T14:10:47Z,baseline,39.18,24,11.0656,0.282429,30,subprocess
2026-04-06T14:10:50Z,treatment,37.68,23,12.1438,0.322287,30,subprocess
2026-04-06T14:11:18Z,baseline,37.26,26,12.3423,0.331247,30,subprocess
2026-04-06T14:11:21Z,treatment,37.87,23,10.8327,0.286049,30,subprocess
2026-04-06T14:11:49Z,baseline,37.16,24,11.7427,0.316003,30,subprocess
2026-04-06T14:11:52Z,treatment,37.57,25,11.0629,0.294461,30,subprocess
2026-04-06T14:12:20Z,baseline,38.25,25,11.2850,0.295032,30,subprocess
2026-04-06T14:12:23Z,treatment,38.15,24,9.7238,0.254885,30,subprocess
2026-04-06T14:12:52Z,baseline,39.80,24,10.3847,0.260922,30,subprocess
2026-04-06T14:12:55Z,treatment,39.27,25,9.9963,0.254552,30,subprocess
2026-04-06T14:13:24Z,baseline,38.82,26,11.2339,0.289383,30,subprocess
2026-04-06T14:13:26Z,treatment,39.23,25,11.2401,0.286518,30,subprocess
2026-04-06T14:13:55Z,baseline,39.12,25,11.6985,0.299041,30,subprocess
2026-04-06T14:13:57Z,treatment,39.51,25,11.0870,0.280613,30,subprocess
2026-04-06T14:14:25Z,baseline,39.24,24,12.3493,0.314711,30,subprocess
2026-04-06T14:14:28Z,treatment,39.34,24,12.0431,0.306128,30,subprocess
2026-04-06T14:14:56Z,baseline,39.62,26,11.5524,0.291581,30,subprocess
2026-04-06T14:14:59Z,treatment,39.67,24,11.6502,0.293677,30,subprocess
2026-04-06T14:15:27Z,baseline,39.64,26,12.3106,0.310559,30,subprocess
2026-04-06T14:15:29Z,treatment,39.49,25,11.9361,0.302255,30,subprocess
2026-04-06T14:15:57Z,baseline,40.29,23,10.3177,0.256086,30,subprocess
2026-04-06T14:16:00Z,treatment,44.12,24,8.5401,0.193566,30,subprocess
2026-04-06T14:16:30Z,baseline,40.47,26,11.9255,0.294676,30,subprocess
2026-04-06T14:16:33Z,treatment,39.53,25,12.4456,0.314840,30,subprocess
2026-04-06T14:17:00Z,baseline,39.64,24,12.5179,0.315789,30,subprocess
2026-04-06T14:17:03Z,treatment,39.81,24,12.4285,0.312196,30,subprocess
2026-04-06T14:17:30Z,baseline,39.65,24,12.4045,0.312850,30,subprocess
2026-04-06T14:17:33Z,treatment,39.52,24,12.6214,0.319367,30,subprocess
2026-04-06T14:18:01Z,baseline,44.39,25,11.3333,0.255312,30,subprocess
2026-04-06T14:18:03Z,treatment,40.72,25,11.8446,0.290880,30,subprocess
2026-04-06T14:18:31Z,baseline,39.94,25,12.7987,0.320448,30,subprocess
2026-04-06T14:18:34Z,treatment,40.12,24,11.6134,0.289465,30,subprocess
2026-04-06T14:19:01Z,baseline,44.28,24,11.1883,0.252672,30,subprocess
2026-04-06T14:19:04Z,treatment,40.40,25,11.6273,0.287803,30,subprocess
2026-04-06T14:19:32Z,baseline,39.98,24,12.7219,0.318206,30,subprocess
2026-04-06T14:19:34Z,treatment,40.03,23,12.7170,0.317688,30,subprocess
2026-04-06T14:20:02Z,baseline,44.47,25,11.0650,0.248819,30,subprocess
2026-04-06T14:20:05Z,treatment,40.73,25,11.8132,0.290036,30,subprocess
2026-04-06T14:20:32Z,baseline,40.25,25,12.7305,0.316286,30,subprocess
2026-04-06T14:20:35Z,treatment,40.32,25,12.6620,0.314038,30,subprocess
2026-04-06T14:21:02Z,baseline,43.06,25,11.3378,0.263302,30,subprocess
2026-04-06T14:21:05Z,treatment,39.67,25,11.0776,0.279244,30,subprocess
2026-04-06T14:21:33Z,baseline,38.44,25,12.7509,0.331710,30,subprocess
2026-04-06T14:21:35Z,treatment,38.47,25,12.7950,0.332598,30,subprocess
2026-04-06T14:22:03Z,baseline,39.36,24,12.7360,0.323577,30,subprocess
2026-04-06T14:22:05Z,treatment,38.49,25,11.5343,0.299670,30,subprocess
2026-04-06T14:22:33Z,baseline,37.95,24,12.7430,0.335784,30,subprocess
2026-04-06T14:22:36Z,treatment,38.08,23,12.4939,0.328096,30,subprocess
2026-04-06T14:23:04Z,baseline,38.93,23,11.7109,0.300819,30,subprocess
2026-04-06T14:23:06Z,treatment,38.20,23,12.1377,0.317742,30,subprocess
2026-04-06T14:23:34Z,baseline,38.00,25,12.5194,0.329457,30,subprocess
2026-04-06T14:23:36Z,treatment,37.83,26,12.6699,0.334918,30,subprocess
2026-04-06T14:24:04Z,baseline,38.47,26,11.7555,0.305576,30,subprocess
2026-04-06T14:24:07Z,treatment,38.11,24,11.9237,0.312876,30,subprocess
2026-04-06T14:24:34Z,baseline,37.55,25,12.6931,0.338031,30,subprocess
2026-04-06T14:24:37Z,treatment,37.74,25,12.6342,0.334769,30,subprocess
2026-04-06T14:25:04Z,baseline,38.51,25,11.6313,0.302034,30,subprocess
2026-04-06T14:25:07Z,treatment,37.79,22,12.4754,0.330123,30,subprocess
2026-04-06T14:25:34Z,baseline,37.45,24,12.7403,0.340195,30,subprocess
2026-04-06T14:25:37Z,treatment,37.25,22,12.6817,0.340448,30,subprocess
2026-04-06T14:26:06Z,baseline,38.28,23,10.7785,0.281571,30,subprocess
2026-04-06T14:26:09Z,treatment,38.24,23,10.4375,0.272946,30,subprocess
2026-04-06T14:26:38Z,baseline,38.24,24,12.6404,0.330555,30,subprocess
2026-04-06T14:26:40Z,treatment,38.01,24,12.5119,0.329174,30,subprocess
2026-04-06T14:27:08Z,baseline,38.16,26,12.4966,0.327478,30,subprocess
2026-04-06T14:27:10Z,treatment,38.64,26,11.4381,0.296017,30,subprocess
2026-04-06T14:27:38Z,baseline,38.74,22,12.4366,0.321028,30,subprocess
2026-04-06T14:27:41Z,treatment,38.53,24,12.2345,0.317532,30,subprocess
2026-04-06T14:28:09Z,baseline,38.93,25,12.5737,0.322981,30,subprocess
2026-04-06T14:28:11Z,treatment,39.12,25,12.5582,0.321018,30,subprocess
2026-04-06T14:28:39Z,baseline,41.67,29,11.2390,0.269714,30,subprocess
2026-04-06T14:28:41Z,treatment,43.44,27,10.9604,0.252311,30,subprocess
2026-04-06T14:29:10Z,baseline,40.44,25,10.9297,0.270270,30,subprocess
2026-04-06T14:29:13Z,treatment,40.49,25,11.1054,0.274274,30,subprocess
2026-04-06T14:29:41Z,baseline,40.57,24,11.3737,0.280349,30,subprocess
2026-04-06T14:29:44Z,treatment,40.53,27,12.1755,0.300408,30,subprocess
2026-04-06T14:30:12Z,baseline,40.32,26,12.4360,0.308432,30,subprocess
2026-04-06T14:30:15Z,treatment,41.37,26,11.0536,0.267190,30,subprocess
2026-04-06T14:30:43Z,baseline,41.53,25,11.6801,0.281246,30,subprocess
2026-04-06T14:30:45Z,treatment,42.38,28,10.6592,0.251515,30,subprocess
2026-04-06T14:31:15Z,baseline,42.74,25,10.2640,0.240149,30,subprocess
2026-04-06T14:31:18Z,treatment,42.50,26,10.2636,0.241497,30,subprocess
2026-04-06T14:31:48Z,baseline,42.58,27,10.5010,0.246618,30,subprocess
2026-04-06T14:31:51Z,treatment,42.30,27,10.7629,0.254442,30,subprocess
2026-04-06T14:32:20Z,baseline,43.82,26,10.3622,0.236471,30,subprocess
2026-04-06T14:32:23Z,treatment,44.15,27,10.3075,0.233465,30,subprocess
2026-04-06T14:32:52Z,baseline,42.60,27,10.6844,0.250808,30,subprocess
2026-04-06T14:32:55Z,treatment,43.07,27,10.3256,0.239740,30,subprocess
2026-04-06T14:33:24Z,baseline,42.63,25,10.5149,0.246654,30,subprocess
2026-04-06T14:33:27Z,treatment,42.10,26,10.6226,0.252319,30,subprocess
2026-04-06T14:33:56Z,baseline,41.53,27,10.7099,0.257883,30,subprocess
2026-04-06T14:33:59Z,treatment,41.94,25,10.1105,0.241070,30,subprocess
2026-04-06T14:34:28Z,baseline,41.18,27,10.5381,0.255903,30,subprocess
2026-04-06T14:34:31Z,treatment,41.25,26,10.7189,0.259852,30,subprocess
2026-04-06T14:35:00Z,baseline,40.68,25,10.6483,0.261757,30,subprocess
2026-04-06T14:35:03Z,treatment,40.68,25,10.6918,0.262828,30,subprocess
2026-04-06T14:35:32Z,baseline,40.65,26,10.6816,0.262770,30,subprocess
2026-04-06T14:35:35Z,treatment,40.60,23,10.7200,0.264040,30,subprocess
2026-04-06T14:36:05Z,baseline,41.22,26,9.1915,0.222987,30,subprocess
2026-04-06T14:36:09Z,treatment,40.82,26,9.9698,0.244239,30,subprocess
2026-04-06T14:36:38Z,baseline,40.18,27,10.7204,0.266809,30,subprocess
2026-04-06T14:36:41Z,treatment,40.38,26,10.4219,0.258096,30,subprocess
2026-04-06T14:37:10Z,baseline,40.16,27,10.5346,0.262317,30,subprocess
2026-04-06T14:37:13Z,treatment,40.40,25,10.6472,0.263545,30,subprocess
2026-04-06T14:37:42Z,baseline,40.54,26,10.0766,0.248559,30,subprocess
2026-04-06T14:37:45Z,treatment,40.34,26,10.5068,0.260456,30,subprocess
2026-04-06T14:38:14Z,baseline,40.22,26,10.5234,0.261646,30,subprocess
2026-04-06T14:38:17Z,treatment,40.39,25,10.4546,0.258842,30,subprocess
2026-04-06T14:38:46Z,baseline,40.08,26,10.6597,0.265961,30,subprocess
2026-04-06T14:38:49Z,treatment,39.96,27,10.6363,0.266173,30,subprocess
2026-04-06T14:39:18Z,baseline,40.37,27,10.7107,0.265314,30,subprocess
2026-04-06T14:39:21Z,treatment,40.06,25,10.6222,0.265157,30,subprocess
2026-04-06T14:39:50Z,baseline,40.34,26,10.6988,0.265216,30,subprocess
2026-04-06T14:39:53Z,treatment,40.49,26,10.6687,0.263489,30,subprocess
2026-04-06T14:40:22Z,baseline,40.93,25,10.6504,0.260211,30,subprocess
2026-04-06T14:40:25Z,treatment,41.05,28,10.7148,0.261019,30,subprocess
2026-04-06T14:40:54Z,baseline,41.06,25,10.7078,0.260785,30,subprocess
2026-04-06T14:40:57Z,treatment,41.69,28,10.3627,0.248566,30,subprocess
2026-04-06T14:41:26Z,baseline,41.29,23,10.6193,0.257188,30,subprocess
2026-04-06T14:41:29Z,treatment,41.41,24,10.6114,0.256252,30,subprocess
2026-04-06T14:41:58Z,baseline,41.62,25,10.3103,0.247724,30,subprocess
2026-04-06T14:42:01Z,treatment,44.56,26,10.3285,0.231790,30,subprocess
2026-04-06T14:42:30Z,baseline,41.78,27,10.6860,0.255767,30,subprocess
2026-04-06T14:42:33Z,treatment,41.72,27,10.5444,0.252742,30,subprocess
2026-04-06T14:43:03Z,baseline,43.10,27,10.2879,0.238698,30,subprocess
2026-04-06T14:43:06Z,treatment,42.10,26,10.6999,0.254154,30,subprocess
2026-04-06T14:43:35Z,baseline,42.64,27,10.3794,0.243418,30,subprocess
2026-04-06T14:43:38Z,treatment,42.23,25,10.5194,0.249099,30,subprocess
2026-04-06T14:44:07Z,baseline,42.47,26,10.2595,0.241570,30,subprocess
2026-04-06T14:44:10Z,treatment,42.39,25,10.6197,0.250524,30,subprocess
2026-04-06T14:44:39Z,baseline,42.39,26,10.6955,0.252311,30,subprocess
2026-04-06T14:44:42Z,treatment,42.67,26,10.6584,0.249787,30,subprocess
2026-04-06T14:45:10Z,baseline,42.90,31,11.0388,0.257315,30,subprocess
2026-04-06T14:45:13Z,treatment,41.48,26,8.1096,0.195506,30,subprocess
2026-04-06T14:45:42Z,baseline,40.99,25,11.5186,0.281010,30,subprocess
2026-04-06T14:45:45Z,treatment,41.33,28,11.7645,0.284649,30,subprocess
2026-04-06T14:46:14Z,baseline,41.74,26,9.9257,0.237798,30,subprocess
2026-04-06T14:46:17Z,treatment,40.75,27,11.2789,0.276783,30,subprocess
2026-04-06T14:46:45Z,baseline,40.31,23,11.1121,0.275665,30,subprocess
2026-04-06T14:46:48Z,treatment,39.47,29,12.5088,0.316920,30,subprocess
2026-04-06T14:47:16Z,baseline,40.04,26,10.5855,0.264372,30,subprocess
2026-04-06T14:47:19Z,treatment,40.06,27,9.6266,0.240304,30,subprocess
2026-04-06T14:47:48Z,baseline,39.35,25,11.2456,0.285785,30,subprocess
2026-04-06T14:47:51Z,treatment,39.50,22,11.4298,0.289362,30,subprocess
2026-04-06T14:48:19Z,baseline,39.37,27,10.7669,0.273481,30,subprocess
2026-04-06T14:48:22Z,treatment,39.75,25,11.2519,0.283066,30,subprocess
2026-04-06T14:48:50Z,baseline,39.15,26,12.0744,0.308414,30,subprocess
2026-04-06T14:48:53Z,treatment,39.08,24,11.1714,0.285860,30,subprocess
2026-04-06T14:49:22Z,baseline,38.76,27,12.3538,0.318725,30,subprocess
2026-04-06T14:49:25Z,treatment,38.98,27,11.3458,0.291066,30,subprocess
2026-04-06T14:49:53Z,baseline,38.80,27,11.6919,0.301337,30,subprocess
2026-04-06T14:49:55Z,treatment,38.95,24,10.8120,0.277586,30,subprocess
2026-04-06T14:50:20Z,baseline,39.45,27,8.9394,0.226600,3,subprocess
2026-04-06T14:50:21Z,treatment,39.99,28,10.8330,0.270894,3,subprocess
2026-04-06T14:50:24Z,baseline,38.72,25,11.4648,0.296095,30,subprocess
2026-04-06T14:50:27Z,treatment,38.78,26,12.0070,0.309618,30,subprocess
